의류수거함,위치
대학동-15,서울특별시 관악구 신림로19길 51 앞
대학동-16,서울특별시 관악구 신림로19길 61 앞
대학동-17,서울특별시 관악구 신림로21길 62
대학동-18,서울특별시 관악구 신림로21길 66
대학동-19,서울특별시 관악구 신림로21길 9 앞
대학동-20,서울특별시 관악구 신림로23길 82
대학동-21,서울특별시 관악구 신림로3가길 19
대학동-22,서울특별시 관악구 신림로3가길 2
대학동-23,서울특별시 관악구 신림로3가길 32
대학동-24,서울특별시 관악구 신림로3가길 32
대학동-25,서울특별시 관악구 신림로3가길 40-24
대학동-26,서울특별시 관악구 신림로3가길 45
대학동-27,서울특별시 관악구 신림로3가길 46-17
대학동-28,서울특별시 관악구 신림로3가길 46-8
대학동-29,서울특별시 관악구 신림로3가길 63
대학동-30,서울특별시 관악구 신림로7가길 34 앞
대학동-31,서울특별시 관악구 신림로7가길 34 옆
대학동-32,서울특별시 관악구 신림로7길 15
대학동-33,서울특별시 관악구 신림로7길 32
대학동-34,서울특별시 관악구 신림로7길 33
대학동-35,서울특별시 관악구 신림로7나길 27
대학동-36,서울특별시 관악구 호암로20길 13
대학동-37,서울특별시 관악구 호암로20길 25
대학동-38,서울특별시 관악구 호암로20길 33
대학동-39,서울특별시 관악구 호암로20길 7
대학동-40,서울특별시 관악구 호암로22가길 6
대학동-41,서울특별시 관악구 호암로22길 15
대학동-42,서울특별시 관악구 호암로22길 5
대학동-43,서울특별시 관악구 호암로24가길 55
대학동-44,서울특별시 관악구 호암로24가길 77
대학동-45,서울특별시 관악구 호암로26가길 11
대학동-46,서울특별시 관악구 호암로26가길 53
미성동-1,서울특별시 관악구 난곡로34나길 18
미성동-2,서울특별시 관악구 난곡로40길 6
미성동-3,서울특별시 관악구 난곡로41길 28
미성동-4,서울특별시 관악구 난곡로41길 7
미성동-5,서울특별시 관악구 난곡로43길 8
미성동-6,서울특별시 관악구 난곡로45길 13
미성동-7,서울특별시 관악구 난곡로47길 23
미성동-8,서울특별시 관악구 난곡로48길 13
미성동-9,서울특별시 관악구 난곡로49길 23
미성동-10,서울특별시 관악구 난곡로51길 13
미성동-11,서울특별시 관악구 난곡로53길 14
미성동-12,서울특별시 관악구 난곡로57길 17
미성동-13,서울특별시 관악구 난곡로59길 23
미성동-14,서울특별시 관악구 난곡로61길 40
미성동-15,서울특별시 관악구 난곡로61길 6
미성동-16,서울특별시 관악구 난곡로63가길 21
미성동-17,서울특별시 관악구 난곡로63길 51
미성동-18,서울특별시 관악구 난곡로63길 65
미성동-19,서울특별시 관악구 난곡로63길 67-3
