자치구,안심 주소,CCTV 용도,위도,경도,CCTV 수량,수정 일시,,
관악구,D3010 2-2S 난향동 675-17,방범,37.46363045,126.9145503,1,2021-09-08,,
관악구,DA078 1-1R 삼성동 306-115,방범,37.46364563,126.9331686,1,2021-09-08,,
관악구,D3011 2-4S 난향동 675-123,방범,37.46364777,126.9168012,1,2021-09-08,,
관악구,DC011 1-2S 난향동 675-26,방범,37.46373895,126.9156299,1,2021-09-08,,
관악구,D2014 1-1R 난향동 685-125,방범,37.46374444,126.9178135,1,2021-09-08,,
관악구,DC011 2-2S 난향동 675-26,방범,37.4637631,126.9156828,1,2021-09-08,,
관악구,DF016 4-4S 난향동 675-74,방범,37.4637938,126.9164132,1,2021-09-08,,
관악구,DF016 2-4S 난향동 675-74,방범,37.46379391,126.9165745,1,2021-09-08,,
관악구,CA007 1-1RX 삼성동 1714-3 (구립합실어린이집),방범,37.46383063,126.9257232,1,2021-09-08,,
관악구,DF016 1-4R 난향동 675-74,방범,37.46385926,126.9164909,1,2021-09-08,,
관악구,LG001 L-MS 삼성동제2공영(삼성동 306-59),방범,37.46386239,126.9334752,1,2021-09-08,,
관악구,LG001 M-MS 삼성동제2공영(삼성동 306-59),방범,37.46386796,126.9335835,1,2021-09-08,,
관악구,DF016 3-4S 난향동 675-74,방범,37.46391959,126.9164222,1,2021-09-08,,
관악구,LG001 I-MS 삼성동제2공영(삼성동 306-59),방범,37.46393038,126.9334843,1,2021-09-08,,
관악구,LG001 J-MS 삼성동제2공영(삼성동 306-59),방범,37.46393226,126.9335627,1,2021-09-08,,
관악구,LG001 H-MS 삼성동제2공영(삼성동 306-59),방범,37.46393584,126.9333829,1,2021-09-08,,
관악구,LG001 K-MS 삼성동제2공영(삼성동 306-59),방범,37.46394149,126.9336365,1,2021-09-08,,
관악구,LG001 E-MS 삼성동제2공영(삼성동 306-59),방범,37.46400755,126.9334773,1,2021-09-08,,
관악구,LG001 D-MS 삼성동제2공영(삼성동 306-59),방범,37.46401485,126.9333851,1,2021-09-08,,
