의류수거함,address,ID,lat,lng
난향동-7,서울특별시 관악구 난향15길 11,107,37.4766954,126.9548079
난향동-8,서울특별시 관악구 난향6길 15,108,37.4766954,126.9548079
난향동-9,서울특별시 관악구 난향6길 31,109,37.4766954,126.9548079
난향동-10,서울특별시 관악구 난향6길 31,110,37.4766954,126.9548079
난향동-11,서울특별시 관악구 난향7길 42,111,37.4766954,126.9548079
난향동-12,서울특별시 관악구 난향7길 60,112,37.4766954,126.9548079
난향동-13,서울특별시 관악구 난향9길 17,113,37.4766954,126.9548079
난향동-14,서울특별시 관악구 난향9길 61,114,37.4766954,126.9548079
난향동-15,서울특별시 관악구 난향길 37,115,37.4766954,126.9548079
난향동-16,서울특별시 관악구 난향길 37,116,37.4766954,126.9548079
남현동-1,서울특별시 관악구 남부순환로256가길 10,117,37.4766954,126.9548079
남현동-2,서울특별시 관악구 남부순환로256가길 6,118,37.4766954,126.9548079
남현동-3,서울특별시 관악구 남부순환로256나길 21,119,37.4766954,126.9548079
남현동-4,서울특별시 관악구 남부순환로256나길 7,120,37.4766954,126.9548079
남현동-5,서울특별시 관악구 남부순환로256다길 17,121,37.4766954,126.9548079
남현동-6,서울특별시 관악구 남부순환로256다길 5,122,37.4766954,126.9548079
남현동-7,서울특별시 관악구 남부순환로256라길 16,123,37.4766954,126.9548079
남현동-8,서울특별시 관악구 남부순환로256라길 26,124,37.4766954,126.9548079
남현동-9,서울특별시 관악구 남부순환로260길 27,125,37.4766954,126.9548079
남현동-10,서울특별시 관악구 남부순환로260길 36,126,37.4766954,126.9548079
남현동-11,서울특별시 관악구 남부순환로260길 43 우,127,37.4766954,126.9548079
남현동-12,서울특별시 관악구 남부순환로260길 43 좌,128,37.4766954,126.9548079
남현동-13,서울특별시 관악구 남부순환로260길 72,129,37.4766954,126.9548079
남현동-14,서울특별시 관악구 남부순환로260길 99 아래,130,37.4766954,126.9548079
남현동-15,서울특별시 관악구 남부순환로260길 99 위,131,37.4766954,126.9548079
남현동-16,서울특별시 관악구 남부순환로262길 24,132,37.4766954,126.9548079
남현동-17,서울특별시 관악구 남부순환로272길 55,133,37.4766954,126.9548079
남현동-18,서울특별시 관악구 남부순환로272길 23,134,37.4766954,126.9548079
남현동-19,서울특별시 관악구 남부순환로272길 28,135,37.4766954,126.9548079
남현동-20,서울특별시 관악구 남현12길 18,136,37.4766954,126.9548079
남현동-21,서울특별시 관악구 남현1가길 12-8,137,37.4766954,126.9548079
남현동-22,서울특별시 관악구 남현1가길 4,138,37.4766954,126.9548079
남현동-23,서울특별시 관악구 남현1가길 42-5,139,37.4766954,126.9548079
남현동-24,서울특별시 관악구 남현2길 93,140,37.4766954,126.9548079
남현동-25,서울특별시 관악구 남현3길 9,141,37.4766954,126.9548079
남현동-26,서울특별시 관악구 남현7길 20,142,37.4766954,126.9548079
남현동-27,서울특별시 관악구 남현7길 32,143,37.4766954,126.9548079
남현동-28,서울특별시 관악구 남현7길 46,144,37.4766954,126.9548079
남현동-29,서울특별시 관악구 남현길 42,145,37.4766954,126.9548079
남현동-30,서울특별시 관악구 남현길 64,146,37.4766954,126.9548079
남현동-31,서울특별시 관악구 남현길 79,147,37.4766954,126.9548079
남현동-32,서울특별시 관악구 승방10길 11-1,148,37.4766954,126.9548079
남현동-33,서울특별시 관악구 승방10길 19,149,37.4766954,126.9548079
남현동-34,서울특별시 관악구 승방1길 35,150,37.4766954,126.9548079
남현동-35,서울특별시 관악구 승방1길 40,151,37.4766954,126.9548079
남현동-36,서울특별시 관악구 승방1길 57,152,37.4766954,126.9548079
남현동-37,서울특별시 관악구 승방1길 73,153,37.4766954,126.9548079
남현동-38,서울특별시 관악구 승방1길 83,154,37.4766954,126.9548079
남현동-39,서울특별시 관악구 승방3가길 10,155,37.4766954,126.9548079
남현동-40,서울특별시 관악구 승방3가길 19,156,37.4766954,126.9548079
남현동-41,서울특별시 관악구 승방3가길 28,157,37.4766954,126.9548079
남현동-42,서울특별시 관악구 승방3가길 58,158,37.4766954,126.9548079
남현동-43,서울특별시 관악구 승방3가길 6,159,37.4766954,126.9548079
남현동-44,서울특별시 관악구 승방3나길 8,160,37.4766954,126.9548079
남현동-45,서울특별시 관악구 승방6길 18,161,37.4766954,126.9548079
남현동-46,서울특별시 관악구 승방6길 27,162,37.4766954,126.9548079
남현동-47,서울특별시 관악구 승방6길 6,163,37.4766954,126.9548079
남현동-48,서울특별시 관악구 승방6길 9,164,37.4766954,126.9548079
남현동-49,서울특별시 관악구 승방7길 1,165,37.4766954,126.9548079
남현동-50,서울특별시 관악구 승방9길 16,166,37.4766954,126.9548079
남현동-51,서울특별시 관악구 승방길 100,167,37.4766954,126.9548079
남현동-52,서울특별시 관악구 승방길 22 뒤,168,37.4766954,126.9548079
남현동-53,서울특별시 관악구 승방길 22 앞,169,37.4766954,126.9548079
남현동-54,서울특별시 관악구 승방길 22 옆,170,37.4766954,126.9548079
남현동-55,서울특별시 관악구 승방길 33,171,37.4766954,126.9548079
남현동-56,서울특별시 관악구 승방길 36,172,37.4766954,126.9548079
남현동-57,서울특별시 관악구 승방길 6,173,37.4766954,126.9548079
남현동-58,서울특별시 관악구 승방길 65,174,37.4766954,126.9548079
남현동-59,서울특별시 관악구 승방길 74,175,37.4766954,126.9548079
남현동-60,서울특별시 관악구 승방길 77,176,37.4766954,126.9548079
남현동-61,서울특별시 관악구 승방길 86,177,37.4766954,126.9548079
남현동-62,서울특별시 관악구 승방길 89,178,37.4766954,126.9548079
대학동-1,서울특별시 관악구 대학5길 29,179,37.4766954,126.9548079
대학동-2,서울특별시 관악구 대학5길 41,180,37.4766954,126.9548079
대학동-3,서울특별시 관악구 대학길 141,181,37.4766954,126.9548079
대학동-4,서울특별시 관악구 대학길 161,182,37.4766954,126.9548079
대학동-5,서울특별시 관악구 대학길 58-6,183,37.4766954,126.9548079
대학동-6,서울특별시 관악구 신림로11가길 28,184,37.4766954,126.9548079
대학동-7,서울특별시 관악구 신림로11길 121,185,37.4766954,126.9548079
대학동-8,서울특별시 관악구 신림로11길 125 앞,186,37.4766954,126.9548079
대학동-9,서울특별시 관악구 신림로11길 140-6,187,37.4766954,126.9548079
대학동-10,서울특별시 관악구 신림로11길 144,188,37.4766954,126.9548079
대학동-11,서울특별시 관악구 신림로11길 35,189,37.4766954,126.9548079
대학동-12,서울특별시 관악구 신림로15길 56,190,37.4766954,126.9548079
대학동-13,서울특별시 관악구 신림로17길 15,191,37.4766954,126.9548079
대학동-14,서울특별시 관악구 신림로19길 25 앞,192,37.4766954,126.9548079
대학동-15,서울특별시 관악구 신림로19길 51 앞,193,37.4766954,126.9548079
대학동-16,서울특별시 관악구 신림로19길 61 앞,194,37.4766954,126.9548079
대학동-17,서울특별시 관악구 신림로21길 62,195,37.4766954,126.9548079
대학동-18,서울특별시 관악구 신림로21길 66,196,37.4766954,126.9548079
대학동-19,서울특별시 관악구 신림로21길 9 앞,197,37.4766954,126.9548079
대학동-20,서울특별시 관악구 신림로23길 82,198,37.4766954,126.9548079
대학동-21,서울특별시 관악구 신림로3가길 19,199,37.4766954,126.9548079
대학동-22,서울특별시 관악구 신림로3가길 2,200,37.4766954,126.9548079
